id,Kraj,Liga,Superbet,Flashscore
355,Montenegro,First League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/czarnogora/1cfl/wszystko?ct=m,
89,Netherlands,Eerste Divisie,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/holandia/eerste-divisie/?ct=m,https://flashscore.pl/pilka-nozna/holandia/eerste-divisie/
88,Netherlands,Eredivisie,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/holandia/eredivisie/?ct=m,https://flashscore.pl/pilka-nozna/holandia/eredivisie/
955,New-Zealand,National League - National,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/nowa-zelandia/national-league/?ct=m,https://flashscore.pl/pilka-nozna/nowa-zelandia/national-league/
399,Nigeria,NPFL,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/nigeria/premier-league/?ct=m,https://flashscore.pl/pilka-nozna/nigeria/premier-league/
407,Northern-Ireland,Championship,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/irlandia-polnocna/championship/wszystko?ct=m,https://flashscore.pl/pilka-nozna/irlandia-polnocna/premiership/
,Northern-Ireland,Premiership,,
104,Norway,1. Division,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/norwegia/1division-baraze/?ct=m,https://flashscore.pl/pilka-nozna/norwegia/1division-baraze/
103,Norway,Eliteserien,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/norwegia/eliteserien/?ct=m,https://flashscore.pl/pilka-nozna/norwegia/eliteserien/
406,Oman,Professional League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/oman/professional-league/wszystko?ct=m,
304,Panama,Liga Panameña de Fútbol,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/panama/lpf-clausura-playoff/,https://flashscore.pl/pilka-nozna/panama/lpf-clausura-playoff/
252,Paraguay,Division Profesional - Clausura,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/paragwaj/primera-division-clausura/?ct=m,https://flashscore.pl/pilka-nozna/paragwaj/primera-division-clausura/
281,Peru,Primera División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/peru/liga-1-clausura/?ct=m,https://flashscore.pl/pilka-nozna/peru/liga-1-clausura/
106,Poland,Ekstraklasa,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/polska/ekstraklasa/?ct=m,https://flashscore.pl/pilka-nozna/polska/ekstraklasa/
107,Poland,I Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/polska/1liga/?ct=m,https://flashscore.pl/pilka-nozna/polska/1liga/
109,Poland,II Liga - East,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/polska/2liga/?ct=m,https://flashscore.pl/pilka-nozna/polska/2liga/
865,Portugal,Liga 3,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/portugalia/liga-3-gra/,https://flashscore.pl/pilka-nozna/portugalia/liga-3-gra/
94,Portugal,Primeira Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/portugalia/primeira-liga/?ct=m,https://flashscore.pl/pilka-nozna/portugalia/primeira-liga/
95,Portugal,Segunda Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/portugalia/liga-2/?ct=m,https://flashscore.pl/pilka-nozna/portugalia/liga-2/
305,Qatar,Stars League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/katar/stars-league/?ct=m,https://flashscore.pl/pilka-nozna/katar/stars-league/
283,Romania,Liga I,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/rumunia/superliga/?ct=m,https://flashscore.pl/pilka-nozna/rumunia/superliga/
284,Romania,Liga II,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/rumunia/liga-2/?ct=m,https://flashscore.pl/pilka-nozna/rumunia/liga-2/
405,Rwanda,National Soccer League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/rwanda/national-league/,https://flashscore.pl/pilka-nozna/rwanda/national-league/
308,Saudi-Arabia,Division 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/arabia-saudyjska/1st-division/,https://flashscore.pl/pilka-nozna/arabia-saudyjska/1st-division/
307,Saudi-Arabia,Pro League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/arabia-saudyjska/pro-league/?ct=m,https://flashscore.pl/pilka-nozna/arabia-saudyjska/pro-league/
180,Scotland,Championship,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szkocja/championship/?ct=m,https://flashscore.pl/pilka-nozna/szkocja/championship/
183,Scotland,League One,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szkocja/league-1/?ct=m,https://flashscore.pl/pilka-nozna/szkocja/league-1/
179,Scotland,Premiership,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szkocja/premiership/?ct=m,https://flashscore.pl/pilka-nozna/szkocja/premiership/
,Serbia,Prva Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/serbia/prva-liga/,https://flashscore.pl/pilka-nozna/serbia/prva-liga/
286,Serbia,Super Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/serbia/super-liga/?ct=m,https://flashscore.pl/pilka-nozna/serbia/super-liga/
368,Singapore,Premier League,,
506,Slovakia,2. liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/slowacja/2-liga/?ct=m,https://flashscore.pl/pilka-nozna/slowacja/2-liga/
332,Slovakia,Super Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/slowacja/1-liga/?ct=m,https://flashscore.pl/pilka-nozna/slowacja/1-liga/
373,Slovenia,1. SNL,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/slowenia/prva-liga/?ct=m,https://flashscore.pl/pilka-nozna/slowenia/prva-liga/
288,South-Africa,Premier Soccer League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/rpa/premiership/?ct=m,https://flashscore.pl/pilka-nozna/rpa/premiership/
292,South-Korea,K League 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/korea-poludniowa/k-league-1-grmistrzowska/?ct=m,https://flashscore.pl/pilka-nozna/korea-poludniowa/k-league-1-grmistrzowska/
293,South-Korea,K League 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/korea-poludniowa/k-league-2/?ct=m,https://flashscore.pl/pilka-nozna/korea-poludniowa/k-league-2/
143,Spain,Copa del Rey,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/copa-del-rey/,https://flashscore.pl/pilka-nozna/hiszpania/copa-del-rey/
140,Spain,La Liga,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/laliga/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/laliga/
435,Spain,Primera División RFEF - Group 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/primera-federacion-gr1/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/primera-federacion-gr1/
436,Spain,Primera División RFEF - Group 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/primera-federacion-gr2/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/primera-federacion-gr2/
141,Spain,Segunda División,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/laliga-2/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/laliga-2/
875,Spain,Segunda División RFEF - Group 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/segunda-federacion-gr1/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/segunda-federacion-gr1/
876,Spain,Segunda División RFEF - Group 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/segunda-federacion-gr2/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/segunda-federacion-gr2/
877,Spain,Segunda División RFEF - Group 3,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/segunda-federacion-gr3/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/segunda-federacion-gr3/
878,Spain,Segunda División RFEF - Group 4,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/hiszpania/segunda-federacion-gr4/?ct=m,https://flashscore.pl/pilka-nozna/hiszpania/segunda-federacion-gr4/
879,Spain,Segunda División RFEF - Group 5,https://superbet.pl/zaklady-bukmackerskie/pilka-nozna/hiszpania/segunda-federacion-gr5/?ct=m,https://superbet.pl/zaklady-bukmackerskie/pilka-nozna/hiszpania/segunda-federacion-gr5/
113,Sweden,Allsvenskan,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szwecja/allsvenskan/?ct=m,https://flashscore.pl/pilka-nozna/szwecja/allsvenskan/
114,Sweden,Superettan,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szwecja/superettan/?ct=m,https://flashscore.pl/pilka-nozna/szwecja/superettan/
208,Switzerland,Challenge League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szwajcaria/challenge-league/?ct=m,https://flashscore.pl/pilka-nozna/szwajcaria/challenge-league/
207,Switzerland,Super League,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/szwajcaria/super-league/?ct=m,https://flashscore.pl/pilka-nozna/szwajcaria/super-league/
567,Tanzania,Ligi kuu Bara,,
297,Thailand,Thai League 2,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/tajlandia/thai-league-2/?ct=m,https://flashscore.pl/pilka-nozna/tajlandia/thai-league-2/
296,Thailand,Thai League 1,https://superbet.pl/zaklady-bukmacherskie/pilka-nozna/tajlandia/thai-league-1/?ct=m,https://flashscore.pl/pilka-nozna/tajlandia/thai-league-1/
